codigo,asignatura,jv1,acum
1810325,ciencias_politicas_economicas,4.5,1.12
1810325,competencias_ciudadanas,4.4,1.1
1810325,dibujo,4.6,1.15
1810325,educacion_etica_religiosa,4.8,1.2
1810325,educacion_fisica_rd,4.0,1.0
1810325,electronica,4.7,1.17
1810325,filosofia,5.0,1.25
1810325,fisica,4.2,1.05
1810325,informatica_tecnologia,3.9,0.97
1810325,ingles_avanzado,3.3,0.82
1810325,lengua_castellana,4.0,1.0
1810325,logica_matematica,3.8,0.95
1810325,programacion,4.5,1.12
1810325,quimica,4.0,1.0
1810325,teatro,4.1,1.02
1810325,trigonometria,3.6,0.9
1910125,ciencias_politicas_economicas,3.8,0.95
1910125,competencias_ciudadanas,3.4,0.85
1910125,dibujo,4.1,1.02
1910125,educacion_etica_religiosa,3.4,0.85
1910125,educacion_fisica_rd,4.2,1.05
1910125,electronica,2.8,0.7
1910125,filosofia,3.7,0.92
1910125,fisica,2.3,0.57
1910125,informatica_tecnologia,3.3,0.82
1910125,ingles_avanzado,2.3,0.57
1910125,lengua_castellana,3.6,0.9
1910125,logica_matematica,2.9,0.72
1910125,programacion,2.9,0.72
1910125,quimica,2.7,0.67
1910125,teatro,3.9,0.97
1910125,trigonometria,2.6,0.65
1910150,ciencias_politicas_economicas,4.6,1.15
1910150,competencias_ciudadanas,4.6,1.15
1910150,dibujo,4.4,1.1
1910150,educacion_etica_religiosa,5.0,1.25
1910150,educacion_fisica_rd,4.2,1.05
1910150,electronica,4.7,1.17
1910150,filosofia,5.0,1.25
1910150,fisica,4.6,1.15
1910150,informatica_tecnologia,4.6,1.15
1910150,ingles_avanzado,4.6,1.15
1910150,lengua_castellana,4.3,1.07
1910150,logica_matematica,4.1,1.02
1910150,programacion,4.5,1.12
1910150,quimica,4.3,1.07
1910150,teatro,4.1,1.02
1910150,trigonometria,3.8,0.95
2110082,ciencias_politicas_economicas,3.7,0.92
2110082,competencias_ciudadanas,4.5,1.12
2110082,dibujo,3.6,0.9
2110082,educacion_etica_religiosa,4.8,1.2
2110082,educacion_fisica_rd,3.9,0.97
2110082,electronica,3.5,0.87
2110082,filosofia,3.1,0.77
2110082,fisica,3.0,0.75
2110082,informatica_tecnologia,4.1,1.02
2110082,ingles_avanzado,3.8,0.95
2110082,lengua_castellana,3.7,0.92
2110082,logica_matematica,3.4,0.85
2110082,programacion,3.3,0.82
2110082,quimica,3.5,0.87
2110082,teatro,4.0,1.0
2110082,trigonometria,3.5,0.87
2110439,ciencias_politicas_economicas,3.5,0.87
2110439,competencias_ciudadanas,3.8,0.95
2110439,dibujo,3.7,0.92
2110439,educacion_etica_religiosa,2.2,0.55
2110439,educacion_fisica_rd,4.3,1.07
2110439,electronica,3.6,0.9
2110439,filosofia,3.8,0.95
2110439,fisica,2.0,0.5
2110439,informatica_tecnologia,3.5,0.87
2110439,ingles_avanzado,2.5,0.62
2110439,lengua_castellana,3.5,0.87
2110439,logica_matematica,3.2,0.8
2110439,programacion,2.8,0.7
2110439,quimica,3.3,0.82
2110439,teatro,3.5,0.87
2110439,trigonometria,2.8,0.7
2110535,ciencias_politicas_economicas,3.6,0.9
2110535,competencias_ciudadanas,4.6,1.15
2110535,dibujo,3.5,0.87
2110535,educacion_etica_religiosa,4.8,1.2
2110535,educacion_fisica_rd,3.5,0.87
2110535,electronica,2.8,0.7
2110535,filosofia,3.9,0.97
2110535,fisica,2.6,0.65
2110535,informatica_tecnologia,3.7,0.92
2110535,ingles_avanzado,2.8,0.7
2110535,lengua_castellana,3.4,0.85
2110535,logica_matematica,3.0,0.75
2110535,programacion,2.8,0.7
2110535,quimica,3.3,0.82
2110535,teatro,3.7,0.92
2110535,trigonometria,2.6,0.65
2110549,ciencias_politicas_economicas,4.6,1.15
2110549,competencias_ciudadanas,4.6,1.15
2110549,dibujo,4.7,1.17
2110549,educacion_etica_religiosa,5.0,1.25
2110549,educacion_fisica_rd,4.0,1.0
2110549,electronica,4.4,1.1
2110549,filosofia,5.0,1.25
2110549,fisica,3.1,0.77
2110549,informatica_tecnologia,4.2,1.05
2110549,ingles_avanzado,2.3,0.57
2110549,lengua_castellana,3.9,0.97
2110549,logica_matematica,3.3,0.82
2110549,programacion,3.4,0.85
2110549,quimica,4.0,1.0
2110549,teatro,3.7,0.92
2110549,trigonometria,3.3,0.82
2210053,ciencias_politicas_economicas,4.3,1.07
2210053,competencias_ciudadanas,4.6,1.15
2210053,dibujo,4.5,1.12
2210053,educacion_etica_religiosa,2.8,0.7
2210053,educacion_fisica_rd,3.2,0.8
2210053,electronica,3.7,0.92
2210053,filosofia,3.0,0.75
2210053,fisica,2.7,0.67
2210053,informatica_tecnologia,3.7,0.92
2210053,ingles_avanzado,3.1,0.77
2210053,lengua_castellana,3.6,0.9
2210053,logica_matematica,3.5,0.87
2210053,programacion,2.8,0.7
2210053,quimica,3.6,0.9
2210053,teatro,3.5,0.87
2210053,trigonometria,2.7,0.67
2210189,ciencias_politicas_economicas,3.6,0.9
2210189,competencias_ciudadanas,3.3,0.82
2210189,dibujo,3.0,0.75
2210189,educacion_etica_religiosa,2.8,0.7
2210189,educacion_fisica_rd,3.9,0.97
2210189,electronica,3.6,0.9
2210189,filosofia,3.0,0.75
2210189,fisica,2.0,0.5
2210189,informatica_tecnologia,3.2,0.8
2210189,ingles_avanzado,2.4,0.6
2210189,lengua_castellana,3.0,0.75
2210189,logica_matematica,2.4,0.6
2210189,programacion,2.8,0.7
2210189,quimica,2.8,0.7
2210189,teatro,3.5,0.87
2210189,trigonometria,2.9,0.72
2300038,ciencias_politicas_economicas,3.8,0.95
2300038,competencias_ciudadanas,4.1,1.02
2300038,dibujo,4.5,1.12
2300038,educacion_etica_religiosa,4.4,1.1
2300038,educacion_fisica_rd,4.1,1.02
2300038,electronica,3.2,0.8
2300038,filosofia,4.9,1.22
2300038,fisica,3.7,0.92
2300038,informatica_tecnologia,4.5,1.12
2300038,ingles_avanzado,3.7,0.92
2300038,lengua_castellana,3.5,0.87
2300038,logica_matematica,3.3,0.82
2300038,programacion,3.7,0.92
2300038,quimica,3.6,0.9
2300038,teatro,4.1,1.02
2300038,trigonometria,3.3,0.82
2400311,ciencias_politicas_economicas,3.2,0.8
2400311,competencias_ciudadanas,4.0,1.0
2400311,dibujo,2.7,0.67
2400311,educacion_etica_religiosa,4.2,1.05
2400311,educacion_fisica_rd,2.7,0.67
2400311,electronica,3.2,0.8
2400311,filosofia,4.6,1.15
2400311,fisica,2.4,0.6
2400311,informatica_tecnologia,3.8,0.95
